language,task,sigma,period,mode,is_rel,is_per,r,K,n_queries,method,rel_route,truncation,seconds,reps,value,rel_dev,guarded
matlab,ip,10,1200,relative periodic,1,1,4,6,0,mobius,auto,inf,0.104482146,2,2.30259280367164e-08,9.683e-15,0
matlab,ip,10,1200,relative periodic,1,1,4,9,0,bulger,auto,inf,0.014171697,11,0.0854915221327497,1.388e-17,0
matlab,ip,10,1200,relative periodic,1,1,4,9,0,centres,auto,inf,0.284285958,1,0.0854915221327497,NaN,0
matlab,ip,10,1200,relative periodic,1,1,4,9,0,mobius,auto,inf,0.134768958,2,0.0854915221327265,2.316e-14,0
matlab,ip,10,1200,relative periodic,1,1,4,14,0,bulger,auto,inf,0.741862583,1,0.160629123516817,NaN,0
matlab,ip,10,1200,relative periodic,1,1,4,14,0,mobius,auto,inf,0.147240271,2,0.160629123516739,NaN,0
matlab,ip,10,1200,relative periodic,1,1,4,21,0,mobius,auto,inf,0.205171708,1,0.511333162640133,NaN,0
matlab,ip,10,1200,relative periodic,1,1,4,32,0,mobius,auto,inf,0.380539271,1,0.872931117784363,NaN,0
matlab,ip,10,1200,relative periodic,1,1,4,48,0,mobius,auto,inf,0.866074479,1,0.959281791741841,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,2,6,64,centres,auto,inf,0.000178571921,1172,0,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,2,6,64,mobius,auto,inf,0.000106302545,1896,-2.26611240468903e-18,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,2,9,64,centres,auto,inf,0.000265859988,1088,0.145826960620551,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,2,9,64,mobius,auto,inf,0.000108302314,2262,0.145826960620551,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,2,14,64,centres,auto,inf,0.000245055594,1074,1.96348003574531e-05,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,2,14,64,mobius,auto,inf,0.000201611638,976,1.9634800953575e-05,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,2,21,64,centres,auto,inf,0.000215968106,1326,0.0270964408880197,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,2,21,64,mobius,auto,inf,0.000113744697,2208,0.0270964408880208,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,2,32,64,centres,auto,inf,0.000266097576,1100,1.681051820274,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,2,32,64,mobius,auto,inf,0.000131940443,1784,1.68105182027571,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,2,48,64,centres,auto,inf,0.000491719782,444,1.49407290502336,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,2,48,64,mobius,auto,inf,0.000147931396,1768,1.49407290502498,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,3,6,64,centres,auto,inf,0.000273751619,978,0,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,3,6,64,mobius,auto,inf,0.000170500123,1020,0,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,3,9,64,centres,auto,inf,0.000346527118,716,0.00773240922688997,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,3,9,64,mobius,auto,inf,0.000208419434,1280,0.00773240922690065,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,3,14,64,centres,auto,inf,0.000556725586,384,2.49300718224471e-07,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,3,14,64,mobius,auto,inf,0.000183622014,1270,2.49300718234288e-07,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,3,21,64,centres,auto,inf,0.000989746617,234,7.36867575109082e-12,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,3,21,64,mobius,auto,inf,0.000201835986,1288,7.42371458990427e-12,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,3,32,64,centres,auto,inf,0.00235376947,122,2.58581556250223e-08,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,3,32,64,mobius,auto,inf,0.00019912357,1078,2.58583257802844e-08,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,3,48,64,centres,auto,inf,0.0067499058,23,0.360302031126893,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,3,48,64,mobius,auto,inf,0.000212118879,1198,0.360302031128793,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,4,6,64,centres,auto,inf,0.000472694799,588,0,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,4,6,64,mobius,auto,inf,0.000305159054,624,2.41521044829117e-91,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,4,9,64,centres,auto,inf,0.000750514744,195,0,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,4,9,64,mobius,auto,inf,0.000314763454,830,2.0174063842754e-39,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,4,14,64,centres,auto,inf,0.00221265174,134,0,NaN,0
matlab,eval,10,1200,absolute non-periodic,0,0,4,14,64,mobius,auto,inf,0.000309003301,732,5.13423192206471e-38,NaN,0
