language,task,sigma,period,mode,is_rel,is_per,r,K,n_queries,method,rel_route,truncation,seconds,reps,guarded,value,rel_dev
python,ip,10.0,1200.0,relative non-periodic,True,False,3,21,,centres,forced-by-method,inf,0.1900276669766754,1,False,0.30301481853457396,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,3,21,,bulger,forced-by-method,inf,0.0595057289901888,4,False,0.30301481853457896,4.9960036108132044e-15
python,ip,10.0,1200.0,relative non-periodic,True,False,3,21,,mobius,forced-by-method,inf,0.1581620000069961,1,False,0.30301481853458057,6.6058269965196814e-15
python,ip,10.0,1200.0,relative non-periodic,True,False,3,32,,centres,forced-by-method,inf,1.7323148329742253,1,False,0.48670380949580794,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,3,32,,bulger,forced-by-method,inf,0.3951805420219898,1,False,0.486703809495809,1.0547118733938987e-15
python,ip,10.0,1200.0,relative non-periodic,True,False,3,32,,mobius,forced-by-method,inf,0.19450833299197257,1,False,0.48670380949583814,3.019806626980426e-14
python,ip,10.0,1200.0,relative non-periodic,True,False,3,48,,bulger,forced-by-method,inf,5.178577666985802,1,False,0.7121038655666562,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,3,48,,mobius,forced-by-method,inf,0.1878709169686772,1,False,0.7121038655666969,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,4,6,,centres,forced-by-method,inf,0.004621544279871159,32,False,7.21311802554183e-13,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,4,6,,bulger,forced-by-method,inf,0.0025315039056295063,64,False,7.213118025540772e-13,1.058209572699674e-25
python,ip,10.0,1200.0,relative non-periodic,True,False,4,6,,mobius,forced-by-method,inf,0.04589249999844469,6,False,7.21121518455384e-13,1.9028409879900627e-16
python,ip,10.0,1200.0,relative non-periodic,True,False,4,9,,centres,forced-by-method,inf,0.05241643749468494,4,False,8.603929013182242e-06,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,4,9,,bulger,forced-by-method,inf,0.02834986670059152,10,False,8.603929013177364e-06,4.877215710290261e-18
python,ip,10.0,1200.0,relative non-periodic,True,False,4,9,,mobius,forced-by-method,inf,0.12932535400614142,2,False,8.603929012191662e-06,9.905796208254866e-16
python,ip,10.0,1200.0,relative non-periodic,True,False,4,14,,centres,forced-by-method,inf,0.59525241603842,1,False,0.006657383628475975,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,4,14,,bulger,forced-by-method,inf,0.2466310000163503,1,False,0.006657383628476143,1.682681771697503e-16
python,ip,10.0,1200.0,relative non-periodic,True,False,4,14,,mobius,forced-by-method,inf,0.2978062909678556,1,False,0.006657383628472153,3.821595817576906e-15
python,ip,10.0,1200.0,relative non-periodic,True,False,4,21,,bulger,forced-by-method,inf,1.973930583044421,1,False,0.07394416179447841,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,4,21,,mobius,forced-by-method,inf,0.6521318749873899,1,False,0.07394416179445945,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,4,32,,mobius,forced-by-method,inf,1.2608660419937223,1,False,0.14197074271955903,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,4,48,,mobius,forced-by-method,inf,3.183481500018388,1,False,0.4155399962792057,nan
python,ip,10.0,1200.0,relative periodic,True,True,2,6,,centres,forced-by-method,inf,0.00010724028398233528,1398,False,0.41899604062362916,nan
python,ip,10.0,1200.0,relative periodic,True,True,2,6,,bulger,forced-by-method,inf,9.71954331850249e-05,2978,False,0.41899604062362905,1.1102230246251565e-16
python,ip,10.0,1200.0,relative periodic,True,True,2,6,,mobius,forced-by-method,inf,0.00034853480553017957,504,False,0.418996040623629,1.6653345369377348e-16
python,ip,10.0,1200.0,relative periodic,True,True,2,9,,centres,forced-by-method,inf,0.00023140856110710962,1244,False,0.8238490444338311,nan
python,ip,10.0,1200.0,relative periodic,True,True,2,9,,bulger,forced-by-method,inf,0.00016376499425391038,1734,False,0.8238490444338313,2.220446049250313e-16
python,ip,10.0,1200.0,relative periodic,True,True,2,9,,mobius,forced-by-method,inf,0.0004351981791618074,357,False,0.823849044433832,8.881784197001252e-16
python,ip,10.0,1200.0,relative periodic,True,True,2,14,,centres,forced-by-method,inf,0.0011306366759127231,182,False,0.7994206089725926,nan
python,ip,10.0,1200.0,relative periodic,True,True,2,14,,bulger,forced-by-method,inf,0.0006415794841176978,314,False,0.7994206089725927,1.1102230246251565e-16
python,ip,10.0,1200.0,relative periodic,True,True,2,14,,mobius,forced-by-method,inf,0.0005078782463291039,552,False,0.7994206089725922,4.440892098500626e-16
python,ip,10.0,1200.0,relative periodic,True,True,2,21,,centres,forced-by-method,inf,0.006564760974326514,38,False,0.9605204945900689,nan
python,ip,10.0,1200.0,relative periodic,True,True,2,21,,bulger,forced-by-method,inf,0.003177989337208876,86,False,0.9605204945900689,0.0
python,ip,10.0,1200.0,relative periodic,True,True,2,21,,mobius,forced-by-method,inf,0.0006283053302552638,430,False,0.9605204945900694,4.440892098500626e-16
python,ip,10.0,1200.0,relative periodic,True,True,2,32,,centres,forced-by-method,inf,0.036109402833972126,6,False,0.9578685301248032,nan
python,ip,10.0,1200.0,relative periodic,True,True,2,32,,bulger,forced-by-method,inf,0.01907023214153014,14,False,0.9578685301248032,0.0
python,ip,10.0,1200.0,relative periodic,True,True,2,32,,mobius,forced-by-method,inf,0.0008215575223552313,268,False,0.9578685301248024,7.771561172376096e-16
python,ip,10.0,1200.0,relative periodic,True,True,2,48,,centres,forced-by-method,inf,0.1761533329845406,1,False,0.9757391548961697,nan
python,ip,10.0,1200.0,relative periodic,True,True,2,48,,bulger,forced-by-method,inf,0.08758060398395173,2,False,0.9757391548961697,0.0
python,ip,10.0,1200.0,relative periodic,True,True,2,48,,mobius,forced-by-method,inf,0.0011046855263166914,190,False,0.9757391548961702,5.551115123125783e-16
python,ip,10.0,1200.0,relative periodic,True,True,3,6,,centres,forced-by-method,inf,0.00061052636517776,482,False,0.10117688321347848,nan
python,ip,10.0,1200.0,relative periodic,True,True,3,6,,bulger,forced-by-method,inf,0.00016466153769680378,1698,False,0.10117688321347844,4.163336342344337e-17
