# calibrate_rel_ip_cost
# python 3.12.2, numpy 2.4.4
# truncation_sigmas 6.0, period 1200.0
# budget 5.0, repeat_below 0.25, seeds [1]
# times in milliseconds. inf means the arm exceeded the budget: its time is
# unknown but at least the budget, which still settles the comparison. nan
# means the arm is inadmissible in that mode, or raised.
# declined_* says why an arm was not measured: memory (working set does not
# fit, by exact arithmetic), rate (over budget, predicted from cells already
# timed), prior (over budget, from the built-in rate before any measurement
# existed), budget (it ran, and exceeded).
r,K_x,K_y,N,shape,weights,isPer,sigma,seed,nu,M_x,M_y,t_bulger,t_centres,t_grid,pred_bulger,pred_mobius,max_abs_diff,gate_route,faster,declined_bulger,declined_centres,declined_grid
2,16,16,64,equal,decay,0,3,1,2446,240,240,2087.8135,inf,127.2180,11796.4800,28316.5520,1.221e-15,centres,mobius,,rate,
2,16,16,64,equal,decay,1,3,1,3332,240,240,3987.5053,inf,77.2599,12976.1280,28316.5520,0.000e+00,grid,mobius,,rate,
2,16,16,64,equal,decay,0,25,1,336,240,240,inf,inf,24.5615,11796.4800,28316.5520,0.000e+00,grid,mobius,budget,rate,
2,16,16,64,equal,decay,1,25,1,400,240,240,inf,inf,12.3614,12976.1280,28316.5520,1.110e-16,grid,mobius,budget,rate,
2,16,16,1,equal,bimodal,0,3,1,2186,240,240,1.1417,1.7130,2.4725,2.8800,11.9120,5.912e-14,centres,bulger,,,
2,16,16,1,equal,bimodal,1,3,1,3332,240,240,1.1945,1.8123,1.2007,3.1680,11.9120,2.298e-14,grid,bulger,,,
2,16,16,1,equal,bimodal,0,25,1,266,240,240,3.4437,1.4042,0.4995,2.8800,11.1286,8.882e-16,grid,mobius,,,
2,16,16,1,equal,bimodal,1,25,1,400,240,240,0.8738,1.6153,0.3575,3.1680,11.9120,2.509e-14,grid,mobius,,,
2,16,16,4,equal,bimodal,0,3,1,2326,240,240,9.5273,23.5410,9.1406,46.0800,115.5920,5.596e-14,centres,mobius,,,
2,16,16,4,equal,bimodal,1,3,1,3332,240,240,13.6688,27.6553,5.1681,50.6880,115.5920,1.443e-15,grid,mobius,,,
2,16,16,4,equal,bimodal,0,25,1,320,240,240,49.4301,23.3325,1.4871,46.0800,115.5920,3.331e-16,grid,mobius,,,
2,16,16,4,equal,bimodal,1,25,1,400,240,240,16.5919,30.6183,0.8681,50.6880,115.5920,1.110e-16,grid,mobius,,,
2,16,16,16,equal,bimodal,0,3,1,2414,240,240,125.3655,353.6872,34.9777,737.2800,1774.4720,6.173e-14,centres,mobius,,,
2,16,16,16,equal,bimodal,1,3,1,3332,240,240,210.6581,471.3148,19.7992,811.0080,1774.4720,3.331e-16,grid,mobius,,,
2,16,16,16,equal,bimodal,0,25,1,333,240,240,718.3740,331.2287,6.6635,737.2800,1774.4720,3.331e-16,grid,mobius,,,
2,16,16,16,equal,bimodal,1,25,1,400,240,240,273.3842,453.8500,2.9873,811.0080,1774.4720,2.220e-16,grid,mobius,,,
2,16,16,64,equal,bimodal,0,3,1,2443,240,240,2192.8968,inf,127.1085,11796.4800,28316.5520,9.770e-15,centres,mobius,,rate,
2,16,16,64,equal,bimodal,1,3,1,3332,240,240,4159.1285,inf,79.2960,12976.1280,28316.5520,1.110e-16,grid,mobius,,rate,
2,16,16,64,equal,bimodal,0,25,1,336,240,240,inf,inf,24.3628,11796.4800,28316.5520,1.110e-16,grid,mobius,budget,rate,
2,16,16,64,equal,bimodal,1,25,1,400,240,240,4978.8847,inf,11.7086,12976.1280,28316.5520,2.220e-16,grid,mobius,,rate,
2,5,16,1,asym,flat,0,3,1,1866,20,240,0.4913,0.6458,1.6070,1.0467,7.5120,2.928e-13,centres,bulger,,,
